 Manufacturer, Model, codename, Device<br />type," data-sort-type=""number"" | Latest CM<br />release"," data-sort-type=""number"" | Current<br />nightly branch"," class=""unsortable"" | Notes"
 Samsung, Samsung Galaxy S III#Model variants|Galaxy S III (Cricket), d2cri, phone, {{sort|110003|11 M3}},11, Last nightly was built on 17 February 2014.
 Samsung, Samsung Galaxy S III|Galaxy S III (GSM LTE), i9305, phone, {{sort|101030|10.1.3}},11, 
 Samsung, Samsung Galaxy S III|Galaxy S III (GSM Non-LTE), i9300, phone, {{sort|110012|11 M12}},11, 
 Samsung, Samsung Galaxy S III#Model variants|Galaxy S III (LTE), d2lte, phone, {{sort|110012|11 M12}},11, Last nightly was built on 26 April 2015.
 Samsung, Samsung Galaxy S III#Model variants|Galaxy S III (MetroPCS), d2mtr, phone, {{sort|110003|11 M3}},11, Last nightly was built on 17 February 2014.
 Samsung, Samsung Galaxy S III#Model variants|Galaxy S III (Sprint), d2spr, phone, {{sort|110003|11 M3}},12.1, 
 Samsung, Samsung Galaxy S III#Model variants|Galaxy S III (T-Mobile), d2tmo, phone, {{sort|110003|11 M3}},12.1, 
 Samsung, Samsung Galaxy S III#Model variants|Galaxy S III (U.S. Cellular), d2usc, phone, {{sort|110003|11 M3}},11, Last nightly was built on 17 February 2014.
 Samsung, Samsung Galaxy S III#Model variants|Galaxy S III (Verizon), d2vzw, phone, {{sort|110003|11 M3}},12.1,
 Samsung, Galaxy S4, jflte, phone, {{sort|110012|11 M12}},11,
 Samsung, Galaxy S4 Active, jactivelte, phone, {{N/A}},12.1,
 Samsung, Galaxy S4 (AT&T), jflteatt, phone, {{sort|110003|11 M3}},12.1,
 Samsung, Galaxy S4 (Canada), jfltecan, phone, {{sort|110003|11 M3}},11, Last nightly was built on 17 February 2014.
 Samsung, Galaxy S4 (Cricket), jfltecri, phone, {{sort|110003|11 M3}},11, Last nightly was built on 17 February 2014.
 Samsung, Galaxy S4 (C-Spire), jfltecsp, phone, {{sort|110003|11 M3}},11, Last nightly was built on 17 February 2014.
 Samsung, Galaxy S4 (International), i9500, phone, {{N/A}},12.1,
 Samsung, Galaxy S4 (LTE) (International), jfltexx, phone, {{sort|110003|11 M3}},12.1,
 Samsung, Galaxy S4 (Sprint), jfltespr, phone, {{sort|110003|11 M3}},12.1,
 Samsung, Galaxy S4 (LTE) (T-Mobile), jfltetmo, phone, {{sort|110003|11 M3}},12.1,
 Samsung, Galaxy S4 (US Cellular), jflteusc, phone, {{sort|110003|11 M3}},11, Last nightly was built on 17 February 2014.
 Samsung, Galaxy S4 (LTE) (Verizon), jfltevzw, phone, {{sort|120001|12 YNG4N}},12.1,
 Samsung, Galaxy S4 (LTE-A) (GT-I9506), ks01lte, phone, {{N/A}},12,
 Samsung, Galaxy S4 Mini (International 3G), serrano3gxx, phone, {{sort|110013|11 XNG3C}},12.1, 
 Samsung, Galaxy S4 Mini (International LTE), serranoltexx, phone, {{sort|110013|11 XNG3C}},12.1,
 Samsung, Galaxy S5, klte, phone, {{N/A}},12.1,
 Samsung, Galaxy S5 (China), kltechn, phone, {{N/A}},12.1,
 Samsung, Galaxy S5 (KDDI), kltekdi, phone, {{N/A}},12.1,
 Samsung, Galaxy S5 (Sprint), kltespr, phone, {{N/A}},12.1,
 Samsung, Galaxy S5 (US Cellular), klteusc, phone, {{N/A}},11,
 Samsung, Galaxy S5 (Verizon), kltevzw, phone, {{N/A}},11," for S5 Developer Edition only. Otherwise bootloader is locked, requires signed images."
 Samsung, Galaxy S5 (Vodafone), kltedv, phone, {{N/A}},12.1,
 Samsung, Galaxy S5|Galaxy S5 Duos , klteduos, phone, {{N/A}},12.1,
 Samsung, Galaxy S5|Galaxy S5 Duos (China), kltechnduo, phone, {{N/A}},12.1,
 Samsung, Samsung Galaxy Tab|Galaxy Tab (CDMA), p1c, tablet, {{sort|091000|9.1}},10, Last nightly was built on 6 October 2013.
 Samsung, Samsung Galaxy Tab|Galaxy Tab (GSM), p1, tablet, {{sort|110012|11 M12}},11, 
 Samsung, Samsung Galaxy Tab|Galaxy Tab (GT-P1000L), p1l, tablet, {{sort|090000|9}},10, Last nightly was built on 5 May 2013.
 Samsung, Samsung Galaxy Tab|Galaxy Tab (GT-P1000N), p1n, tablet, {{sort|090000|9}},10, Last nightly was built on 5 May 2013.
 Samsung, Samsung Galaxy Tab 8.9|Galaxy Tab 8.9 (GSM), p5, tablet, {{N/A}},9, Last nightly was built on 29 September 2013.
 Samsung, Samsung Galaxy Tab 8.9|Galaxy Tab 8.9 (Wi-Fi), p5wifi, tablet, {{N/A}},9, Last nightly was built on 29 September 2013.
 Samsung, Samsung Galaxy Tab 10.1|Galaxy Tab 10.1 (GSM), p4, tablet, {{N/A}},10.1, Last nightly was built on 16 February 2014.
 Samsung, Samsung Galaxy Tab 10.1|Galaxy Tab 10.1 (T-Mobile), p4tmo, tablet, {{N/A}},10.1, Last nightly was built on 16 March 2014.
 Samsung, Samsung Galaxy Tab 10.1|Galaxy Tab 10.1 (Verizon), p4vzw, tablet, {{N/A}},10.1, Last nightly was built on 16 February 2014.
 Samsung, Samsung Galaxy Tab 10.1|Galaxy Tab 10.1 (Wi-Fi), p4wifi, tablet, {{N/A}},10.1, Last nightly was built on 16 February 2014.
 Samsung, Samsung Galaxy Tab 10.1|Galaxy Tab 10.1, p3, tablet, {{N/A}},10.1, Last nightly was built on 16 February 2014.
 Samsung, Samsung Galaxy Tab Pro 8.4|Galaxy Tab Pro 8.4, mondrianwifi, tablet, {{sort|120001|12 YNG4N}},12.1, 
 Samsung, Samsung Galaxy Tab 10.1|Galaxy Tab Pro 10.1 (Wi-Fi), picassowifi, tablet, {{sort|120001|12 YNG4N}},12.1, 
 Samsung, Samsung Galaxy Tab S 8.4|Galaxy Tab S 8.4 (Wi-Fi), klimtwifi, tablet, {{N/A}},12.1, 
 Samsung, Samsung Galaxy Tab 2 7.0|Galaxy Tab 2 7.0 (GSM), p3100, tablet, {{sort|101030|10.1.3}} ,11, 
 Samsung, Samsung Galaxy Tab 2 7.0|Galaxy Tab 2 7.0 (Wi-Fi), p3110, tablet, {{sort|101030|10.1.3}},11, 
 Samsung, Samsung Galaxy Tab 2 7.0|Galaxy Tab 2 7.0 (Wi-Fi+IR), p3113, tablet, {{sort|091000|9.1}},10, Last nightly was built on 6 November 2012.
 Samsung, Samsung Galaxy Tab 2 10.1|Galaxy Tab 2 10.1 (GSM), p5100, tablet, {{sort|101030|10.1.3}},11, 
 Samsung, Samsung Galaxy Tab 2 10.1|Galaxy Tab 2 10.1 (Wi-Fi), p5110, tablet, {{sort|101030|10.1.3}},11, 
 Samsung, Samsung Galaxy Tab 2 10.1|Galaxy Tab 2 10.1 (Wi-Fi+IR), p5113, tablet, {{sort|091000|9.1}},10, Last nightly was built on 6 November 2012. 
 Samsung, Samsung Galaxy S#In the United States|mesmerize, mesmerizemtd, phone, {{sort|072000|7.2}},10.1, Last nightly was built on 23 July 2013.
 Samsung, Galaxy S#In the United States|Showcase, showcasemtd, phone, {{sort|072000|7.2}},7, Last nightly was built on 7 October 2012.
 Samsung, Samsung Galaxy S#In the United States|Vibrant, vibrantmtd, phone, {{sort|101030|10.1.3}},10.1, Last nightly was built on 17 February 2014.
 smartfren, http://www.smartfren.com/andromax4g/ Andromax Q 4G LTE, rendang, phone, {{N/A}},12.1,
 Sony Mobile Communications|Sony, Sony Xperia acro S|Xperia acro S, hikari, phone, {{sort|100000|10}},9, Last nightly was built on 29 September 2013.
 Sony Mobile Communications|Sony, Sony Xperia ion|Xperia ion, aoba, phone, {{N/A}},9, Last nightly was built on 29 September 2013.
 Sony Mobile Communications|Sony, Sony Xperia L|Xperia L, taoshan, phone, {{N/A}},12,
 Sony Mobile Communications|Sony, Sony Xperia M|Xperia M, nicki, phone, {{N/A}},12.1, 
 Sony Mobile Communications|Sony, Sony Xperia S|Xperia S, nozomi, phone, {{sort|091000|9.1}},9, Last nightly was built on 29 September 2013.
 Sony Mobile Communications|Sony, Sony Xperia SP|Xperia SP, huashan, Phone, {{sort|110011|11 M11}},12.1,
 Sony Mobile Communications|Sony, Sony Xperia T|Xperia T, mint, phone, {{sort|110012|11 M12}},12, 
 Sony Mobile Communications|Sony, Sony Xperia T2 Ultra|Xperia T2 Ultra, tianchi, phone, {{N/A}},11, Only one experimental build is available. Last experimental was built on 5 November 2014.
 Sony Mobile Communications|Sony, Sony Xperia Tablet Z|Xperia Tablet Z (GSM), pollux, tablet, {{sort|110012|11 M12}},12.1, 
 Sony Mobile Communications|Sony, Sony Xperia Tablet Z|Xperia Tablet Z (Wi-Fi), pollux_windy, tablet, {{sort|110012|11 M12}},12.1, 
 Sony Mobile Communications|Sony, Sony Xperia Tablet Z2|Xperia Tablet Z2 (GSM/LTE) , castor, tablet, {{sort|110012|11 M12}},12.1, 
 Sony Mobile Communications|Sony, Sony Xperia Tablet Z2|Xperia Tablet Z2 (WiFi) , castor_windy, tablet, {{sort|110011|11 M11}},12.1, 
 Sony Mobile Communications|Sony, Sony Xperia Z3 Compact|Sony Xperia Tablet Z3 Compact , scorpion, tablet, {{N/A}},12.1, 
 Sony Mobile Communications|Sony, Sony Xperia Z3 Compact|Sony Xperia Tablet Z3 Compact (WiFi), scorpion_windy , tablet, {{N/A}},12.1, 
 Sony Mobile Communications|Sony, Sony Xperia TX|Xperia TX , hayabusa, tablet, {{N/A}}, {{N/A}}, Only experimental builds available. Last experimental was built on 28 May 2013.
 Sony Mobile Communications|Sony, Sony Xperia V|Xperia V, tsubasa, phone, {{sort|110012|11 M12}},12, 
 Sony Mobile Communications|Sony, Sony Xperia Z|Xperia Z, yuga, phone, {{sort|110012|11 M12}},12.1, 
 Sony Mobile Communications|Sony, Sony Xperia Z Ultra|Xperia Z Ultra, togari, phone, {{sort|110012|11 M12}},12.1, 
 Sony Mobile Communications|Sony, Sony Xperia Z Ultra|Xperia Z Ultra (GPE), togari_gpe, phone, {{sort|110012|11 M12}},12.1, 
 Sony Mobile Communications|Sony, Sony Xperia Z1|Xperia Z1, honami, Phone, {{sort|110012|11 M12}},12.1,
 Sony Mobile Communications|Sony, Sony Xperia Z1 Compact|Xperia Z1 Compact, amami, Phone, {{sort|110012|11 M12}},12.1,
 Sony Mobile Communications|Sony, Sony Xperia Z2|Xperia Z2, sirius, Phone, {{sort|110012|11 M12}},12.1,
 Sony Mobile Communications|Sony, Sony Xperia Z3|Xperia Z3, z3, Phone, {{N/A}},12.1,
 Sony Mobile Communications|Sony, Sony Xperia Z3 Compact|Xperia Z3 Compact, z3c, Phone, {{N/A}},12.1,
 Sony Mobile Communications|Sony, Sony Xperia ZL|Xperia ZL, odin, phone, {{sort|110012|11 M12}},11, 
 Sony Mobile Communications|Sony, Sony Xperia ZR|Xperia ZR, dogo, phone, {{sort|110012|11 M12}},11,
 Sony Mobile Communications#2001 to 2010|Sony Ericsson, Live with Walkman|Live With Walkman, coconut, phone, {{sort|091000|9.1}},10, Last nightly was built on 6 October 2013.
 Sony Mobile Communications#2001 to 2010|Sony Ericsson, Sony Ericsson Xperia active|Xperia active, satsuma, phone, {{sort|091000|9.1}},10, Last nightly was built on 6 October 2013.
 Sony Mobile Communications#2001 to 2010|Sony Ericsson, Sony Ericsson Xperia arc|Xperia arc, anzu, phone, {{sort|091000|9.1}},10, Last nightly was built on 6 October 2013.
 Sony Mobile Communications#2001 to 2010|Sony Ericsson, Sony Ericsson Xperia neo|Xperia neo, hallon, phone, {{sort|091000|9.1}},10, Last nightly was built on 6 October 2013.
 Sony Mobile Communications#2001 to 2010|Sony Ericsson, Sony Ericsson Xperia neo V|Xperia neo V, haida, phone, {{sort|091000|9.1}},10, Last nightly was built on 6 October 2013.
 Sony Mobile Communications#2001 to 2010|Sony Ericsson, Sony Ericsson Xperia mini|Xperia mini, smultron, phone, {{sort|091000|9.1}},10, Last nightly was built on 6 October 2013.
 Sony Mobile Communications#2001 to 2010|Sony Ericsson, Sony Ericsson Xperia mini pro|Xperia mini pro, mango, phone, {{sort|091000|9.1}},10, Last nightly was built on 29 September 2013.
 Sony Mobile Communications#2001 to 2010|Sony Ericsson, Sony Ericsson Xperia Play|Xperia Play (CDMA), zeusc, phone, {{sort|091000|9.1}},9, Last nightly was built on 29 September 2013.
 Sony Mobile Communications#2001 to 2010|Sony Ericsson, Sony Ericsson Xperia Play|Xperia Play (GSM), zeus, phone, {{sort|091000|9.1}},9, Last nightly was built on 29 September 2013.
 Sony Mobile Communications#2001 to 2010|Sony Ericsson, Sony Ericsson Xperia Pro|Xperia Pro, iyokan, phone, {{sort|072000|7.2}},10, Last nightly was built on 6 October 2013.
 Sony Mobile Communications#2001 to 2010|Sony Ericsson, Sony Ericsson Xperia ray|Xperia ray, urushi, phone, {{sort|091000|9.1}},10, Last nightly was built on 7 October 2013.
 Sony Mobile Communications#2001 to 2010|Sony Ericsson, Sony Ericsson Xperia X8|Xperia X8, shakira, phone, {{sort|071000|7.1}}, {{N/A}}, Last nightly was built on 16 November 2011.
 Sony Mobile Communications#2001 to 2010|Sony Ericsson, Sony Ericsson Xperia X10 mini|Xperia X10 mini, robyn, phone, {{sort|071000|7.1}}, {{N/A}}, Last nightly was built on 16 November 2011.
 Sony Mobile Communications#2001 to 2010|Sony Ericsson, Sony Ericsson Xperia X10 Mini#Sony Ericsson Xperia X10 mini pro|Xperia X10 mini pro, mimmi, phone, {{sort|071000|7.1}}, {{N/A}}, Last nightly was built on 16 November 2011.
 ViewSonic, ViewSonic G Tablet|G Tablet, smb_a1002, tablet, {{sort|072000|7.2}},7," Last nightly was built on 3 June 2012. Prior builds were under the codename ""harmony"""
 Xiaomi, Xiaomi Mi 2S|Mi2(s), aries, Phone, {{sort|110013|11 XNG3C}},11,
 Xiaomi, Mi3/4 W/C, cancro, Phone, {{N/A}},12.1,
 YU_Televentures|Yu, Yuphoria, lettuce, Phone, {{N/A}},12.1, Phone ships with Cyanogen OS.
 YU_Televentures|Yu, Micromax_Yu_Yureka|Yureka, tomato, Phone, {{N/A}},12.1, Phone ships with Cyanogen OS.
 ZTE, ZTE Blade|Blade, blade, phone, {{sort|072000|7.2}},7, Last nightly was built on 1 March 2013. Also marketed as the Orange San Francisco.
 ZTE, ZTE Skate|Skate, skate, phone, {{N/A}},7, Last nightly was built on 1 March 2013.
 ZTE, V9, v9, tablet, {{sort|072000|7.2}},7, Last nightly was built on 1 March 2013.
